,player_num,player_name,team
0,1,t Stegen,Barcelona
1,20,S Roberto,Barcelona
2,3,Piqué,Barcelona
3,23,Umtiti,Barcelona
4,18,J Alba,Barcelona
5,21,d Jong,Barcelona
6,5,Busquets,Barcelona
7,8,Arthur,Barcelona
8,10,Messi,Barcelona
9,17,Griezmann,Barcelona
10,31,Fati,Barcelona
11,24,Junior,Barcelona
12,4,Rakitić,Barcelona
13,22,Vidal,Barcelona
14,13,D Soria,Getafe
15,12,Nyom,Getafe
16,2,Djene,Getafe
17,16,Etxeita,Getafe
18,17,Olivera,Getafe
19,5,Etebo,Getafe
20,18,Arambarri,Getafe
21,20,Maksimović,Getafe
22,15,Cucurella,Getafe
23,19,J Molina,Getafe
24,7,J Mata,Getafe
25,25,Kenedy,Getafe
26,9,Angel,Getafe
27,11,Amath,Getafe
