,player_num,player_name,team
0,1,Vaclík,Sevilla
1,17,Gudelj,Sevilla
2,20,D Carlos,Sevilla
3,12,Koundé,Sevilla
4,10,Banega,Sevilla
5,16,J Navas,Sevilla
6,22,Vázquez,Sevilla
7,21,O Torres,Sevilla
8,23,Reguilón,Sevilla
9,5,Ocampos,Sevilla
10,19,d Jong,Sevilla
11,14,Hernández,Sevilla
12,15,Pozo,Sevilla
13,24,J Jordn,Sevilla
14,13,Oblak,Atletico Madrid
15,23,Trippier,Atletico Madrid
16,18,Felipe,Atletico Madrid
17,22,Hermoso,Atletico Madrid
18,12,R Lodi,Atletico Madrid
19,11,Lemar,Atletico Madrid
20,5,Partey,Atletico Madrid
21,8,Sal guez,Atletico Madrid
22,6,Koke,Atletico Madrid
23,10,Correa,Atletico Madrid
24,9,Morata,Atletico Madrid
25,4,Arias,Atletico Madrid
26,16,Herrera,Atletico Madrid
27,19,D Costa,Atletico Madrid
