,player_num,player_name,team
0,13,A candell,Granada CF
1,16,Vctor Daz,Granada CF
2,20,Vallejo,Granada CF
3,6,G chez,Granada CF
4,15,Neva,Granada CF
5,21,Herrera,Granada CF
6,8,Eteki,Granada CF
7,10,A Puertas,Granada CF
8,14,F Vico,Granada CF
9,23,Machís,Granada CF
10,24,C Fernndez,Granada CF
11,9,Soldado,Granada CF
12,17,G Dias,Granada CF
13,18,Antoñin,Granada CF
14,1,Dmitrović,Eibar
15,20,Rober,Eibar
16,2,Burgos,Eibar
17,3,Bigas,Eibar
18,11,R Soares,Eibar
19,6,Alvarez,Eibar
20,8,Diop,Eibar
21,16,D Blasis,Eibar
22,14,Orellana,Eibar
23,22,Inui,Eibar
24,17,K Garca,Eibar
25,10,E Expsito,Eibar
26,15,J gel,Eibar
27,18,Cristóforo,Eibar
28,19,Charles,Eibar
