,player_num,player_name,team
0,1,U Simn,Athletic Club
1,21,Capa,Athletic Club
2,5,Yeray,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,8,U Lpez,Athletic Club
6,14,D Garcia,Athletic Club
7,10,Muniain,Athletic Club
8,22,R rca,Athletic Club
9,11,Córdoba,Athletic Club
10,9,I lliams,Athletic Club
11,7,Beñat,Athletic Club
12,19,I Gomez,Athletic Club
13,20,Aduriz,Athletic Club
14,13,Moyá,Real Sociedad
15,2,Zaldùa,Real Sociedad
16,5,I Zubelda,Real Sociedad
17,3,Llorente,Real Sociedad
18,12,A Muoz,Real Sociedad
19,21,Ødegaard,Real Sociedad
20,4,Illarra,Real Sociedad
21,8,Merino,Real Sociedad
22,11,Januzaj,Real Sociedad
23,9,W Jos,Real Sociedad
24,10,Oyarzabal,Real Sociedad
25,7,Portu,Real Sociedad
26,23,Sangalli,Real Sociedad
27,19,Isak,Real Sociedad
