,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,18,Aidoo,Celta Vigo
3,4,Araujo,Celta Vigo
4,15,Olaza,Celta Vigo
5,23,B Mndez,Celta Vigo
6,24,P Cheikh,Celta Vigo
7,14,Lobotka,Celta Vigo
8,6,Suárez,Celta Vigo
9,10,I Aspas,Celta Vigo
10,22,S Mina,Celta Vigo
11,16,J Saenz,Celta Vigo
12,8,F Beltran,Celta Vigo
13,19,Fernández,Celta Vigo
14,1,Remiro,Real Sociedad
15,2,Zaldùa,Real Sociedad
16,24,L Normand,Real Sociedad
17,3,Llorente,Real Sociedad
18,20,Monreal,Real Sociedad
19,5,I Zubelda,Real Sociedad
20,8,Merino,Real Sociedad
21,7,Portu,Real Sociedad
22,21,Ødegaard,Real Sociedad
23,10,Oyarzabal,Real Sociedad
24,9,W Jos,Real Sociedad
25,23,Sangalli,Real Sociedad
26,19,Isak,Real Sociedad
27,22,A Barrenetxea,Real Sociedad
