,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,15,Savić,Atletico Madrid
3,2,Gimenez,Atletico Madrid
4,12,R Lodi,Atletico Madrid
5,6,Koke,Atletico Madrid
6,5,Partey,Atletico Madrid
7,8,Sal guez,Atletico Madrid
8,11,Lemar,Atletico Madrid
9,7,Joo Flix,Atletico Madrid
10,9,Morata,Atletico Madrid
11,22,Hermoso,Atletico Madrid
12,14,Llorente,Atletico Madrid
13,20,Vitolo,Atletico Madrid
14,13,D Soria,Getafe
15,12,Nyom,Getafe
16,2,Djene,Getafe
17,4,Bruno,Getafe
18,6,Cabrera,Getafe
19,22,Suárez,Getafe
20,18,Arambarri,Getafe
21,21,Fajr,Getafe
22,15,Cucurella,Getafe
23,19,J Molina,Getafe
24,7,J Mata,Getafe
25,14,García,Getafe
26,9,Angel,Getafe
27,10,E Gallego,Getafe
