,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,21,Martín,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,6,Magallán,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,18,Aleix,Deportivo Alaves
6,19,M Garca,Deportivo Alaves
7,22,Wakaso,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,9,Joselu,Deportivo Alaves
10,7,Lucas,Deportivo Alaves
11,8,Pina,Deportivo Alaves
12,20,P Pons,Deportivo Alaves
13,24,Burke,Deportivo Alaves
14,13,Oblak,Atletico Madrid
15,4,Arias,Atletico Madrid
16,18,Felipe,Atletico Madrid
17,22,Hermoso,Atletico Madrid
18,12,R Lodi,Atletico Madrid
19,8,Sal guez,Atletico Madrid
20,14,Llorente,Atletico Madrid
21,16,Herrera,Atletico Madrid
22,11,Lemar,Atletico Madrid
23,10,Correa,Atletico Madrid
24,19,D Costa,Atletico Madrid
25,5,Partey,Atletico Madrid
26,6,Koke,Atletico Madrid
27,9,Morata,Atletico Madrid
