,player_num,player_name,team
0,1,U Simn,Athletic Club
1,21,Capa,Athletic Club
2,5,Yeray,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,8,U Lpez,Athletic Club
6,14,D Garcia,Athletic Club
7,22,R rca,Athletic Club
8,10,Muniain,Athletic Club
9,11,Córdoba,Athletic Club
10,9,I lliams,Athletic Club
11,6,S Jos,Athletic Club
12,12,G Larrazabal,Athletic Club
13,20,Aduriz,Athletic Club
14,13,López,Espanyol de Barcelona
15,5,Naldo,Espanyol de Barcelona
16,20,Espinosa,Espanyol de Barcelona
17,15,D Lpez,Espanyol de Barcelona
18,34,Gómez,Espanyol de Barcelona
19,4,V chez,Espanyol de Barcelona
20,21,M Roca,Espanyol de Barcelona
21,10,S Darder,Espanyol de Barcelona
22,17,Dídac,Espanyol de Barcelona
23,31,V mpuzano,Espanyol de Barcelona
24,22,Vargas,Espanyol de Barcelona
25,7,W Lei,Espanyol de Barcelona
26,9,Ferreyra,Espanyol de Barcelona
27,23,Granero,Espanyol de Barcelona
