,player_num,player_name,team
0,1,Dmitrović,Eibar
1,20,Rober,Eibar
2,2,Burgos,Eibar
3,3,Bigas,Eibar
4,15,J gel,Eibar
5,21,P Len,Eibar
6,8,Diop,Eibar
7,10,E Expsito,Eibar
8,16,D Blasis,Eibar
9,9,Enrich,Eibar
10,17,K Garca,Eibar
11,7,Q Gonzlez,Eibar
12,18,Cristóforo,Eibar
13,19,Charles,Eibar
14,22,Inui,Eibar
15,1,Cuéllar,Leganés
16,16,Rosales,Leganés
17,3,U Bustinza,Leganés
18,15,Tarín,Leganés
19,22,Siovas,Leganés
20,5,Silva,Leganés
21,19,A Ruibal,Leganés
22,23,Amadou,Leganés
23,21,Rubn Prez,Leganés
24,24,Rodrigues,Leganés
25,9,Guerrero,Leganés
26,12,Awaziem,Leganés
27,17,Eraso,Leganés
28,20,Assalé,Leganés
