,player_num,player_name,team
0,1,Dmitrović,Eibar
1,24,Tejero,Eibar
2,2,Burgos,Eibar
3,3,Bigas,Eibar
4,15,J gel,Eibar
5,8,Diop,Eibar
6,10,E Expsito,Eibar
7,21,P Len,Eibar
8,14,Orellana,Eibar
9,22,Inui,Eibar
10,9,Enrich,Eibar
11,23,Arbilla,Eibar
12,18,Cristóforo,Eibar
13,16,D Blasis,Eibar
14,1,Robles,Real Betis
15,22,E Royal,Real Betis
16,23,Mandi,Real Betis
17,5,Bartra,Real Betis
18,15,l reno,Real Betis
19,32,E Gonzlez,Real Betis
20,8,Fekir,Real Betis
21,10,Canales,Real Betis
22,24,Aleñá,Real Betis
23,17,Joaquín,Real Betis
24,9,B Iglesias,Real Betis
25,21,Rodríguez,Real Betis
26,11,Tello,Real Betis
27,16,L Morn,Real Betis
