,player_num,player_name,team
0,1,Dmitrović,Eibar
1,20,Rober,Eibar
2,12,P Oliveira,Eibar
3,23,Arbilla,Eibar
4,3,Bigas,Eibar
5,14,Orellana,Eibar
6,5,Escalante,Eibar
7,8,Diop,Eibar
8,21,P Len,Eibar
9,19,Charles,Eibar
10,17,K Garca,Eibar
11,10,E Expsito,Eibar
12,9,Enrich,Eibar
13,16,D Blasis,Eibar
14,13,D Soria,Getafe
15,22,Suárez,Getafe
16,2,Djene,Getafe
17,6,Cabrera,Getafe
18,17,Olivera,Getafe
19,12,Nyom,Getafe
20,18,Arambarri,Getafe
21,20,Maksimović,Getafe
22,15,Cucurella,Getafe
23,26,H Duro,Getafe
24,7,J Mata,Getafe
25,24,Timor,Getafe
26,9,Angel,Getafe
27,19,J Molina,Getafe
