,player_num,player_name,team
0,1,Koke,Levante
1,23,Coke,Levante
2,15,Postigo,Levante
3,6,Duarte,Levante
4,3,Toño,Levante
5,8,Hernâni,Levante
6,22,Melero,Levante
7,5,Radoja,Levante
8,11,Morales,Levante
9,7,S Len,Levante
10,9,Roger,Levante
11,19,Clerc,Levante
12,21,B Mayoral,Levante
13,24,Campaña,Levante
14,31,J Monterde,Levante
15,42,l esa,Levante
16,13,D Soria,Getafe
17,22,Suárez,Getafe
18,2,Djene,Getafe
19,24,Timor,Getafe
20,17,Olivera,Getafe
21,23,Jason,Getafe
22,20,Maksimović,Getafe
23,18,Arambarri,Getafe
24,15,Cucurella,Getafe
25,9,Angel,Getafe
26,7,J Mata,Getafe
27,8,Portillo,Getafe
28,19,J Molina,Getafe
29,26,H Duro,Getafe
