,player_num,player_name,team
0,1,Cuéllar,Leganés
1,3,U Bustinza,Leganés
2,15,Tarín,Leganés
3,4,Omeruo,Leganés
4,5,Silva,Leganés
5,24,Rodrigues,Leganés
6,27,s drguez,Leganés
7,21,Rubn Prez,Leganés
8,6,R Mesa,Leganés
9,18,Carrillo,Leganés
10,7,Braithwaite,Leganés
11,8,Recio,Leganés
12,10,J niz,Leganés
13,19,A Ruibal,Leganés
14,13,D Soria,Getafe
15,22,Suárez,Getafe
16,2,Djene,Getafe
17,6,Cabrera,Getafe
18,17,Olivera,Getafe
19,12,Nyom,Getafe
20,18,Arambarri,Getafe
21,20,Maksimović,Getafe
22,15,Cucurella,Getafe
23,19,J Molina,Getafe
24,7,J Mata,Getafe
25,5,Etebo,Getafe
26,21,Fajr,Getafe
27,26,H Duro,Getafe
