,player_num,player_name,team
0,1,Doménech,Valencia
1,18,Wass,Valencia
2,5,G Paulista,Valencia
3,12,Diakhaby,Valencia
4,14,Gayá,Valencia
5,20,F rres,Valencia
6,10,Parejo,Valencia
7,17,Coquelin,Valencia
8,8,Soler,Valencia
9,19,Rodrigo,Valencia
10,22,Gómez,Valencia
11,6,Kondogbia,Valencia
12,9,Gameiro,Valencia
13,11,Cheryshev,Valencia
14,1,Dmitrović,Eibar
15,24,Tejero,Eibar
16,12,P Oliveira,Eibar
17,3,Bigas,Eibar
18,15,J gel,Eibar
19,21,P Len,Eibar
20,6,Alvarez,Eibar
21,10,E Expsito,Eibar
22,22,Inui,Eibar
23,9,Enrich,Eibar
24,19,Charles,Eibar
25,33,M Atienza,Eibar
26,7,Q Gonzlez,Eibar
27,16,D Blasis,Eibar
