,player_num,player_name,team
0,13,Cillessen,Valencia
1,18,Wass,Valencia
2,5,G Paulista,Valencia
3,4,Mangala,Valencia
4,14,Gayá,Valencia
5,20,F rres,Valencia
6,10,Parejo,Valencia
7,17,Coquelin,Valencia
8,8,Soler,Valencia
9,19,Rodrigo,Valencia
10,22,Gómez,Valencia
11,15,M Vallejo,Valencia
12,23,Sobrino,Valencia
13,34,Esquerdo,Valencia
14,1,Asenjo,Villarreal
15,2,M Gaspar,Villarreal
16,3,Albiol,Villarreal
17,4,P Torres,Villarreal
18,16,X Quintill,Villarreal
19,15,Morlanes,Villarreal
20,7,G Moreno,Villarreal
21,19,Z Anguissa,Villarreal
22,14,Trigueros,Villarreal
23,23,M Gmez,Villarreal
24,17,T Ekambi,Villarreal
25,9,Bacca,Villarreal
26,11,Chukwueze,Villarreal
27,24,J Ontiveros,Villarreal
