,player_num,player_name,team
0,13,López,Espanyol de Barcelona
1,16,J Lpez,Espanyol de Barcelona
2,20,Espinosa,Espanyol de Barcelona
3,18,Cabrera,Espanyol de Barcelona
4,17,Dídac,Espanyol de Barcelona
5,10,S Darder,Espanyol de Barcelona
6,15,D Lpez,Espanyol de Barcelona
7,21,M Roca,Espanyol de Barcelona
8,23,A Embarba,Espanyol de Barcelona
9,12,Calleri,Espanyol de Barcelona
10,11,Ral de Toms,Espanyol de Barcelona
11,34,Gómez,Espanyol de Barcelona
12,4,V chez,Espanyol de Barcelona
13,22,Vargas,Espanyol de Barcelona
14,1,Reina,Mallorca
15,7,Pozo,Mallorca
16,24,Valjent,Mallorca
17,21,A Raillo,Mallorca
18,3,Lumor,Mallorca
19,12,Baba,Mallorca
20,8,S Sevilla,Mallorca
21,14,D Rodrguez,Mallorca
22,23,Febas,Mallorca
23,11,Lago Jr,Mallorca
24,22,Budimir,Mallorca
25,9,Abdón,Mallorca
26,26,Kubo,Mallorca
27,29,Hernández,Mallorca
