,player_num,player_name,team
0,13,López,Espanyol de Barcelona
1,5,Naldo,Espanyol de Barcelona
2,20,Espinosa,Espanyol de Barcelona
3,15,D Lpez,Espanyol de Barcelona
4,34,Gómez,Espanyol de Barcelona
5,4,V chez,Espanyol de Barcelona
6,21,M Roca,Espanyol de Barcelona
7,3,A drosa,Espanyol de Barcelona
8,10,S Darder,Espanyol de Barcelona
9,22,Vargas,Espanyol de Barcelona
10,12,Calleri,Espanyol de Barcelona
11,23,Granero,Espanyol de Barcelona
12,7,W Lei,Espanyol de Barcelona
13,9,Ferreyra,Espanyol de Barcelona
14,1,Asenjo,Villarreal
15,20,R Pea,Villarreal
16,3,Albiol,Villarreal
17,4,P Torres,Villarreal
18,18,A Moreno,Villarreal
19,19,Z Anguissa,Villarreal
20,10,Iborra,Villarreal
21,8,S Cazorla,Villarreal
22,7,G Moreno,Villarreal
23,17,T Ekambi,Villarreal
24,23,M Gmez,Villarreal
25,6,F Mori,Villarreal
26,24,J Ontiveros,Villarreal
27,11,Chukwueze,Villarreal
