,player_num,player_name,team
0,1,Vaclík,Sevilla
1,16,J Navas,Sevilla
2,12,Koundé,Sevilla
3,20,D Carlos,Sevilla
4,23,Reguilón,Sevilla
5,24,J Jordn,Sevilla
6,25,Fernando,Sevilla
7,10,Banega,Sevilla
8,5,Ocampos,Sevilla
9,14,Hernández,Sevilla
10,8,Nolito,Sevilla
11,21,O Torres,Sevilla
12,22,Vázquez,Sevilla
13,19,d Jong,Sevilla
14,13,D Soria,Getafe
15,12,Nyom,Getafe
16,16,Etxeita,Getafe
17,6,Cabrera,Getafe
18,14,García,Getafe
19,23,Jason,Getafe
20,18,Arambarri,Getafe
21,20,Maksimović,Getafe
22,15,Cucurella,Getafe
23,19,J Molina,Getafe
24,7,J Mata,Getafe
25,17,Olivera,Getafe
26,25,Kenedy,Getafe
27,9,Angel,Getafe
