,player_num,player_name,team
0,1,Dmitrović,Eibar
1,16,D Blasis,Eibar
2,12,P Oliveira,Eibar
3,23,Arbilla,Eibar
4,15,J gel,Eibar
5,14,Orellana,Eibar
6,5,Escalante,Eibar
7,8,Diop,Eibar
8,22,Inui,Eibar
9,17,K Garca,Eibar
10,9,Enrich,Eibar
11,10,E Expsito,Eibar
12,19,Charles,Eibar
13,21,P Len,Eibar
14,1,Asenjo,Villarreal
15,2,M Gaspar,Villarreal
16,3,Albiol,Villarreal
17,4,P Torres,Villarreal
18,16,X Quintill,Villarreal
19,10,Iborra,Villarreal
20,19,Z Anguissa,Villarreal
21,11,Chukwueze,Villarreal
22,14,Trigueros,Villarreal
23,24,J Ontiveros,Villarreal
24,17,T Ekambi,Villarreal
25,7,G Moreno,Villarreal
26,8,S Cazorla,Villarreal
27,23,M Gmez,Villarreal
