,player_num,player_name,team
0,1,Asenjo,Villarreal
1,2,M Gaspar,Villarreal
2,6,F Mori,Villarreal
3,4,P Torres,Villarreal
4,15,Estupiñán,Villarreal
5,5,Parejo,Villarreal
6,25,Capoue,Villarreal
7,11,Chukwueze,Villarreal
8,12,D Raba,Villarreal
9,23,M Gmez,Villarreal
10,17,Alcácer,Villarreal
11,7,G Moreno,Villarreal
12,19,Coquelin,Villarreal
13,9,Bacca,Villarreal
14,32,Baena,Villarreal
15,30,Pino,Villarreal
16,13,D Soria,Getafe
17,22,Suárez,Getafe
18,2,Djene,Getafe
19,24,Timor,Getafe
20,17,Olivera,Getafe
21,29,J Iglesias,Getafe
22,20,Maksimović,Getafe
23,18,Arambarri,Getafe
24,15,Cucurella,Getafe
25,10,Ünal,Getafe
26,7,J Mata,Getafe
27,5,Kubo,Getafe
28,11,Aleñá,Getafe
29,9,Angel,Getafe
