,player_num,player_name,team
0,1,Doménech,Valencia
1,18,Wass,Valencia
2,5,G Paulista,Valencia
3,4,Mangala,Valencia
4,14,Gayá,Valencia
5,30,Musah,Valencia
6,26,Esquerdo,Valencia
7,6,Kondogbia,Valencia
8,7,G edes,Valencia
9,22,Gómez,Valencia
10,20,Lee KI,Valencia
11,11,Sobrino,Valencia
12,12,Diakhaby,Valencia
13,17,Cheryshev,Valencia
14,19,Račić,Valencia
15,21,M Vallejo,Valencia
16,13,A Fernndez,Levante
17,20,Miramón,Levante
18,6,Duarte,Levante
19,4,Rober,Levante
20,19,Clerc,Levante
21,24,Campaña,Levante
22,5,Radoja,Levante
23,22,Melero,Levante
24,10,Bardhi,Levante
25,7,S Len,Levante
26,11,Morales,Levante
27,15,Postigo,Levante
28,17,Vukčević,Levante
29,18,D Frutos,Levante
30,21,D Gmez,Levante
31,23,Coke,Levante
