,player_num,player_name,team
0,13,A Fernndez,Levante
1,14,Rben Vezo,Levante
2,6,Duarte,Levante
3,4,Rober,Levante
4,5,Radoja,Levante
5,20,Miramón,Levante
6,3,Toño,Levante
7,16,Rochina,Levante
8,12,Malsa,Levante
9,7,S Len,Levante
10,21,D Gmez,Levante
11,10,Bardhi,Levante
12,18,D Frutos,Levante
13,19,Clerc,Levante
14,2,Son,Levante
15,11,Morales,Levante
16,1,S Herrera,Osasuna
17,2,N Vidal,Osasuna
18,23,Aridane,Osasuna
19,5,D Garca,Osasuna
20,3,J Cruz,Osasuna
21,24,L Torr,Osasuna
22,21,Pérez,Osasuna
23,10,R Torres,Osasuna
24,27,Moncayola,Osasuna
25,14,R rca,Osasuna
26,16,Calleri,Osasuna
27,4,U Garca,Osasuna
28,39,M Snchez,Osasuna
29,17,Budimir,Osasuna
30,6,Oier,Osasuna
31,11,K Barja,Osasuna
