,player_num,player_name,team
0,1,Ledesma,Cadiz
1,20,Iza,Cadiz
2,19,P Alcal,Cadiz
3,16,Cala,Cadiz
4,22,Espino,Cadiz
5,7,Salvi,Cadiz
6,2,Jønsson,Cadiz
7,8,Álex,Cadiz
8,10,A Perea,Cadiz
9,18,Negredo,Cadiz
10,25,J Izquierdo,Cadiz
11,3,Fali,Cadiz
12,24,Malbašić,Cadiz
13,21,l mnez,Cadiz
14,9,Lozano,Cadiz
15,1,Yáñez,Getafe
16,22,Suárez,Getafe
17,3,Cabaco,Getafe
18,2,Djene,Getafe
19,17,Olivera,Getafe
20,12,Nyom,Getafe
21,20,Maksimović,Getafe
22,18,Arambarri,Getafe
23,15,Cucurella,Getafe
24,23,Hernández,Getafe
25,9,Angel,Getafe
26,10,Ünal,Getafe
27,24,Timor,Getafe
