,player_num,player_name,team
0,1,R Silva,Granada CF
1,16,Vctor Daz,Granada CF
2,22,D Duarte,Granada CF
3,6,G chez,Granada CF
4,17,Quini,Granada CF
5,4,Gonalons,Granada CF
6,19,Montoro,Granada CF
7,24,Kenedy,Granada CF
8,21,Herrera,Granada CF
9,10,A Puertas,Granada CF
10,9,Soldado,Granada CF
11,23,J Molina,Granada CF
12,11,Machís,Granada CF
13,18,Adrin Marn,Granada CF
14,20,Vallejo,Granada CF
15,14,F Vico,Granada CF
16,1,Asenjo,Villarreal
17,2,M Gaspar,Villarreal
18,3,Albiol,Villarreal
19,4,P Torres,Villarreal
20,24,Pedraza,Villarreal
21,25,Capoue,Villarreal
22,5,Parejo,Villarreal
23,20,R Pea,Villarreal
24,14,Trigueros,Villarreal
25,7,G Moreno,Villarreal
26,9,Bacca,Villarreal
27,19,Coquelin,Villarreal
28,17,Alcácer,Villarreal
29,23,M Gmez,Villarreal
30,18,A Moreno,Villarreal
31,11,Chukwueze,Villarreal
