,player_num,player_name,team
0,1,t Stegen,Barcelona
1,28,Mingueza,Barcelona
2,4,Araújo,Barcelona
3,23,Umtiti,Barcelona
4,18,J Alba,Barcelona
5,8,Pjanić,Barcelona
6,21,d Jong,Barcelona
7,11,Dembèlé,Barcelona
8,16,Pedri,Barcelona
9,7,Griezmann,Barcelona
10,10,Messi,Barcelona
11,20,S Roberto,Barcelona
12,15,Lenglet,Barcelona
13,9,Braithwaite,Barcelona
14,1,U Simn,Athletic Club
15,21,Capa,Athletic Club
16,5,Yeray,Athletic Club
17,4,I rtnez,Athletic Club
18,17,Yuri,Athletic Club
19,18,D Marcos,Athletic Club
20,14,D Garcia,Athletic Club
21,27,U Vencedor,Athletic Club
22,10,Muniain,Athletic Club
23,22,R rca,Athletic Club
24,9,I lliams,Athletic Club
25,15,Lekue,Athletic Club
26,6,M Vesga,Athletic Club
27,12,A Berenguer,Athletic Club
28,20,Villalibre,Athletic Club
