,player_num,player_name,team
0,1,R Silva,Granada CF
1,2,Foulquier,Granada CF
2,22,D Duarte,Granada CF
3,6,G chez,Granada CF
4,15,Neva,Granada CF
5,8,Eteki,Granada CF
6,4,Gonalons,Granada CF
7,10,A Puertas,Granada CF
8,5,L Milla,Granada CF
9,11,Machís,Granada CF
10,7,Suárez,Granada CF
11,9,Soldado,Granada CF
12,17,Quini,Granada CF
13,21,Herrera,Granada CF
14,23,J Molina,Granada CF
15,24,Kenedy,Granada CF
16,1,l rnndez,Huesca
17,3,P Maffeo,Huesca
18,14,Pulido,Huesca
19,18,Siovas,Huesca
20,11,J Galn,Huesca
21,5,P Mosquera,Huesca
22,7,D Ferreiro,Huesca
23,17,M Rico,Huesca
24,24,B Garcia,Huesca
25,6,S Ramirez,Huesca
26,9,R Mir,Huesca
27,2,Doumbia,Huesca
28,12,Okazaki,Huesca
29,15,J Ontiveros,Huesca
30,21,J Carlos,Huesca
31,23,D Escriche,Huesca
