,player_num,player_name,team
0,13,E Badia,Elche CF
1,19,Barragán,Elche CF
2,5,G Verd,Elche CF
3,2,D Gonzlez,Elche CF
4,24,Josema,Elche CF
5,17,Josán,Elche CF
6,4,Marcone,Elche CF
7,14,R Guti,Elche CF
8,16,F Chaves,Elche CF
9,22,Rigoni,Elche CF
10,9,Boyé,Elche CF
11,7,Nino,Elche CF
12,8,V drguez,Elche CF
13,6,Mfulu,Elche CF
14,12,D Calvo,Elche CF
15,10,P Milla,Elche CF
16,1,Yáñez,Getafe
17,22,Suárez,Getafe
18,3,Cabaco,Getafe
19,2,Djene,Getafe
20,17,Olivera,Getafe
21,8,Portillo,Getafe
22,18,Arambarri,Getafe
23,20,Maksimović,Getafe
24,15,Cucurella,Getafe
25,11,Aleñá,Getafe
26,7,J Mata,Getafe
27,12,Nyom,Getafe
28,5,Kubo,Getafe
29,9,Angel,Getafe
