,player_num,player_name,team
0,13,Cillessen,Valencia
1,2,T Correia,Valencia
2,5,G Paulista,Valencia
3,15,Guillamón,Valencia
4,3,T Lato,Valencia
5,14,Gayá,Valencia
6,8,Soler,Valencia
7,18,Wass,Valencia
8,19,Račić,Valencia
9,22,Gómez,Valencia
10,7,G edes,Valencia
11,9,Gameiro,Valencia
12,12,Diakhaby,Valencia
13,10,Oliva,Valencia
14,1,t Stegen,Barcelona
15,4,Araújo,Barcelona
16,3,Piqué,Barcelona
17,15,Lenglet,Barcelona
18,5,Busquets,Barcelona
19,2,Dest,Barcelona
20,21,d Jong,Barcelona
21,16,Pedri,Barcelona
22,18,J Alba,Barcelona
23,10,Messi,Barcelona
24,7,Griezmann,Barcelona
25,27,I Moriba,Barcelona
26,20,S Roberto,Barcelona
