,player_num,player_name,team
0,1,R Silva,Granada CF
1,2,Foulquier,Granada CF
2,22,D Duarte,Granada CF
3,6,G chez,Granada CF
4,15,Neva,Granada CF
5,21,Herrera,Granada CF
6,8,Eteki,Granada CF
7,10,A Puertas,Granada CF
8,19,Montoro,Granada CF
9,11,Machís,Granada CF
10,9,Soldado,Granada CF
11,20,Vallejo,Granada CF
12,5,L Milla,Granada CF
13,26,Soro,Granada CF
14,7,Suárez,Granada CF
15,24,Kenedy,Granada CF
16,1,t Stegen,Barcelona
17,2,Dest,Barcelona
18,28,Mingueza,Barcelona
19,23,Umtiti,Barcelona
20,18,J Alba,Barcelona
21,21,d Jong,Barcelona
22,5,Busquets,Barcelona
23,16,Pedri,Barcelona
24,11,Dembèlé,Barcelona
25,10,Messi,Barcelona
26,7,Griezmann,Barcelona
27,24,Junior,Barcelona
28,17,Trincão,Barcelona
29,8,Pjanić,Barcelona
30,9,Braithwaite,Barcelona
31,12,Puig,Barcelona
