,player_num,player_name,team
0,1,Courtois,Real Madrid
1,17,L Vzquez,Real Madrid
2,3,d lito,Real Madrid
3,6,Nacho,Real Madrid
4,23,Mendy,Real Madrid
5,14,Casemiro,Real Madrid
6,15,Valverde,Real Madrid
7,10,Modrić,Real Madrid
8,8,Kroos,Real Madrid
9,20,Vincius Jr,Real Madrid
10,9,Benzema,Real Madrid
11,12,Marcelo,Real Madrid
12,19,l riozola,Real Madrid
13,22,Isco,Real Madrid
14,11,M Asensio,Real Madrid
15,24,Mariano,Real Madrid
16,1,t Stegen,Barcelona
17,28,Mingueza,Barcelona
18,4,Araújo,Barcelona
19,15,Lenglet,Barcelona
20,2,Dest,Barcelona
21,5,Busquets,Barcelona
22,21,d Jong,Barcelona
23,18,J Alba,Barcelona
24,10,Messi,Barcelona
25,16,Pedri,Barcelona
26,11,Dembèlé,Barcelona
27,20,S Roberto,Barcelona
28,27,I Moriba,Barcelona
29,7,Griezmann,Barcelona
30,9,Braithwaite,Barcelona
31,17,Trincão,Barcelona
